"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"HHS Region 1","4 wk ahead","Bin","percent","8.4","8.5",2e-04
"HHS Region 1","4 wk ahead","Bin","percent","8.5","8.6",4e-04
"HHS Region 1","4 wk ahead","Bin","percent","8.6","8.7",2e-04
"HHS Region 1","4 wk ahead","Bin","percent","8.7","8.8",4e-04
"HHS Region 1","4 wk ahead","Bin","percent","8.8","8.9",2e-04
"HHS Region 1","4 wk ahead","Bin","percent","8.9","9",2e-04
"HHS Region 1","4 wk ahead","Bin","percent","9","9.1",1e-04
"HHS Region 1","4 wk ahead","Bin","percent","9.1","9.2",2e-04
"HHS Region 1","4 wk ahead","Bin","percent","9.2","9.3",1e-04
"HHS Region 1","4 wk ahead","Bin","percent","9.3","9.4",0
"HHS Region 1","4 wk ahead","Bin","percent","9.4","9.5",1e-04
"HHS Region 1","4 wk ahead","Bin","percent","9.5","9.6",0
"HHS Region 1","4 wk ahead","Bin","percent","9.6","9.7",1e-04
"HHS Region 1","4 wk ahead","Bin","percent","9.7","9.8",0
"HHS Region 1","4 wk ahead","Bin","percent","9.8","9.9",1e-04
"HHS Region 1","4 wk ahead","Bin","percent","9.9","10",0
"HHS Region 1","4 wk ahead","Bin","percent","10","10.1",0
"HHS Region 1","4 wk ahead","Bin","percent","10.1","10.2",0
"HHS Region 1","4 wk ahead","Bin","percent","10.2","10.3",3e-04
"HHS Region 1","4 wk ahead","Bin","percent","10.3","10.4",0
"HHS Region 1","4 wk ahead","Bin","percent","10.4","10.5",0
"HHS Region 1","4 wk ahead","Bin","percent","10.5","10.6",0
"HHS Region 1","4 wk ahead","Bin","percent","10.6","10.7",1e-04
"HHS Region 1","4 wk ahead","Bin","percent","10.7","10.8",0
"HHS Region 1","4 wk ahead","Bin","percent","10.8","10.9",1e-04
"HHS Region 1","4 wk ahead","Bin","percent","10.9","11",1e-04
"HHS Region 1","4 wk ahead","Bin","percent","11","11.1",0
"HHS Region 1","4 wk ahead","Bin","percent","11.1","11.2",0
"HHS Region 1","4 wk ahead","Bin","percent","11.2","11.3",0
"HHS Region 1","4 wk ahead","Bin","percent","11.3","11.4",0
"HHS Region 1","4 wk ahead","Bin","percent","11.4","11.5",0
"HHS Region 1","4 wk ahead","Bin","percent","11.5","11.6",0
"HHS Region 1","4 wk ahead","Bin","percent","11.6","11.7",0
"HHS Region 1","4 wk ahead","Bin","percent","11.7","11.8",0
"HHS Region 1","4 wk ahead","Bin","percent","11.8","11.9",0
"HHS Region 1","4 wk ahead","Bin","percent","11.9","12",1e-04
"HHS Region 1","4 wk ahead","Bin","percent","12","12.1",1e-04
"HHS Region 1","4 wk ahead","Bin","percent","12.1","12.2",0
"HHS Region 1","4 wk ahead","Bin","percent","12.2","12.3",0
"HHS Region 1","4 wk ahead","Bin","percent","12.3","12.4",1e-04
"HHS Region 1","4 wk ahead","Bin","percent","12.4","12.5",0
"HHS Region 1","4 wk ahead","Bin","percent","12.5","12.6",0
"HHS Region 1","4 wk ahead","Bin","percent","12.6","12.7",0
"HHS Region 1","4 wk ahead","Bin","percent","12.7","12.8",0
"HHS Region 1","4 wk ahead","Bin","percent","12.8","12.9",0
"HHS Region 1","4 wk ahead","Bin","percent","12.9","13",0
"HHS Region 1","4 wk ahead","Bin","percent","13","100",0
"HHS Region 2","Season onset","Point","week",NA,NA,49
"HHS Region 2","Season onset","Bin","week","40","41",0
"HHS Region 2","Season onset","Bin","week","41","42",0
"HHS Region 2","Season onset","Bin","week","42","43",0
"HHS Region 2","Season onset","Bin","week","43","44",0
"HHS Region 2","Season onset","Bin","week","44","45",0
"HHS Region 2","Season onset","Bin","week","45","46",0
"HHS Region 2","Season onset","Bin","week","46","47",0
"HHS Region 2","Season onset","Bin","week","47","48",0
"HHS Region 2","Season onset","Bin","week","48","49",0
"HHS Region 2","Season onset","Bin","week","49","50",0.7103
"HHS Region 2","Season onset","Bin","week","50","51",0
"HHS Region 2","Season onset","Bin","week","51","52",0
"HHS Region 2","Season onset","Bin","week","52","53",0.0235
"HHS Region 2","Season onset","Bin","week","1","2",0.0129
"HHS Region 2","Season onset","Bin","week","2","3",0.0138
"HHS Region 2","Season onset","Bin","week","3","4",0.0118
"HHS Region 2","Season onset","Bin","week","4","5",0.0126
"HHS Region 2","Season onset","Bin","week","5","6",0.0107
"HHS Region 2","Season onset","Bin","week","6","7",0.0098
"HHS Region 2","Season onset","Bin","week","7","8",0.0075
"HHS Region 2","Season onset","Bin","week","8","9",0.0069
"HHS Region 2","Season onset","Bin","week","9","10",0.0054
"HHS Region 2","Season onset","Bin","week","10","11",0.0015
"HHS Region 2","Season onset","Bin","week","11","12",0.002
"HHS Region 2","Season onset","Bin","week","12","13",5e-04
"HHS Region 2","Season onset","Bin","week","13","14",0.000900000000000001
"HHS Region 2","Season onset","Bin","week","14","15",5e-04
"HHS Region 2","Season onset","Bin","week","15","16",8e-04
"HHS Region 2","Season onset","Bin","week","16","17",3e-04
"HHS Region 2","Season onset","Bin","week","17","18",5e-04
"HHS Region 2","Season onset","Bin","week","18","19",0
"HHS Region 2","Season onset","Bin","week","19","20",0
"HHS Region 2","Season onset","Bin","week","20","21",0
"HHS Region 2","Season onset","Bin","week","none","none",0.1678
"HHS Region 2","Season peak week","Point","week",NA,NA,3
"HHS Region 2","Season peak week","Bin","week","40","41",0
"HHS Region 2","Season peak week","Bin","week","41","42",0
"HHS Region 2","Season peak week","Bin","week","42","43",0
"HHS Region 2","Season peak week","Bin","week","43","44",0
"HHS Region 2","Season peak week","Bin","week","44","45",0
"HHS Region 2","Season peak week","Bin","week","45","46",0
"HHS Region 2","Season peak week","Bin","week","46","47",0
"HHS Region 2","Season peak week","Bin","week","47","48",0
"HHS Region 2","Season peak week","Bin","week","48","49",0
"HHS Region 2","Season peak week","Bin","week","49","50",0
"HHS Region 2","Season peak week","Bin","week","50","51",0.191331439567488
"HHS Region 2","Season peak week","Bin","week","51","52",0.10244662329332
"HHS Region 2","Season peak week","Bin","week","52","53",0.0714743883441767
"HHS Region 2","Season peak week","Bin","week","1","2",0.0494822688536608
"HHS Region 2","Season peak week","Bin","week","2","3",0.0692751763951251
"HHS Region 2","Season peak week","Bin","week","3","4",0.0481077613855035
"HHS Region 2","Season peak week","Bin","week","4","5",0.056354806194447
"HHS Region 2","Season peak week","Bin","week","5","6",0.0681755704205993
"HHS Region 2","Season peak week","Bin","week","6","7",0.0675341336021259
"HHS Region 2","Season peak week","Bin","week","7","8",0.0448089434619262
"HHS Region 2","Season peak week","Bin","week","8","9",0.0462750847612939
"HHS Region 2","Season peak week","Bin","week","9","10",0.0313387702739851
"HHS Region 2","Season peak week","Bin","week","10","11",0.0192431045542014
"HHS Region 2","Season peak week","Bin","week","11","12",0.0185100339045176
"HHS Region 2","Season peak week","Bin","week","12","13",0.0172271602675708
"HHS Region 2","Season peak week","Bin","week","13","14",0.0125538348758362
"HHS Region 2","Season peak week","Bin","week","14","15",0.00916338312104829
"HHS Region 2","Season peak week","Bin","week","15","16",0.0121872995509942
"HHS Region 2","Season peak week","Bin","week","16","17",0.00302391642994593
"HHS Region 2","Season peak week","Bin","week","17","18",0.00229084578026207
"HHS Region 2","Season peak week","Bin","week","18","19",0.013470173187941
"HHS Region 2","Season peak week","Bin","week","19","20",0.0101713552643636
"HHS Region 2","Season peak week","Bin","week","20","21",0.0355539265096674
"HHS Region 2","Season peak percentage","Point","percent",NA,NA,4.7
"HHS Region 2","Season peak percentage","Bin","percent","0","0.1",0
"HHS Region 2","Season peak percentage","Bin","percent","0.1","0.2",0
"HHS Region 2","Season peak percentage","Bin","percent","0.2","0.3",0
"HHS Region 2","Season peak percentage","Bin","percent","0.3","0.4",0
"HHS Region 2","Season peak percentage","Bin","percent","0.4","0.5",0
"HHS Region 2","Season peak percentage","Bin","percent","0.5","0.6",0
"HHS Region 2","Season peak percentage","Bin","percent","0.6","0.7",0
"HHS Region 2","Season peak percentage","Bin","percent","0.7","0.8",0
"HHS Region 2","Season peak percentage","Bin","percent","0.8","0.9",0
"HHS Region 2","Season peak percentage","Bin","percent","0.9","1",0
"HHS Region 2","Season peak percentage","Bin","percent","1","1.1",0
"HHS Region 2","Season peak percentage","Bin","percent","1.1","1.2",0
"HHS Region 2","Season peak percentage","Bin","percent","1.2","1.3",0
"HHS Region 2","Season peak percentage","Bin","percent","1.3","1.4",0
"HHS Region 2","Season peak percentage","Bin","percent","1.4","1.5",0
"HHS Region 2","Season peak percentage","Bin","percent","1.5","1.6",0
"HHS Region 2","Season peak percentage","Bin","percent","1.6","1.7",0
"HHS Region 2","Season peak percentage","Bin","percent","1.7","1.8",0
"HHS Region 2","Season peak percentage","Bin","percent","1.8","1.9",0
"HHS Region 2","Season peak percentage","Bin","percent","1.9","2",0
"HHS Region 2","Season peak percentage","Bin","percent","2","2.1",0
"HHS Region 2","Season peak percentage","Bin","percent","2.1","2.2",0
"HHS Region 2","Season peak percentage","Bin","percent","2.2","2.3",0
"HHS Region 2","Season peak percentage","Bin","percent","2.3","2.4",0
"HHS Region 2","Season peak percentage","Bin","percent","2.4","2.5",0
"HHS Region 2","Season peak percentage","Bin","percent","2.5","2.6",0
"HHS Region 2","Season peak percentage","Bin","percent","2.6","2.7",0
"HHS Region 2","Season peak percentage","Bin","percent","2.7","2.8",0
"HHS Region 2","Season peak percentage","Bin","percent","2.8","2.9",0
"HHS Region 2","Season peak percentage","Bin","percent","2.9","3",0
"HHS Region 2","Season peak percentage","Bin","percent","3","3.1",0
"HHS Region 2","Season peak percentage","Bin","percent","3.1","3.2",0
"HHS Region 2","Season peak percentage","Bin","percent","3.2","3.3",0
"HHS Region 2","Season peak percentage","Bin","percent","3.3","3.4",0
"HHS Region 2","Season peak percentage","Bin","percent","3.4","3.5",0
"HHS Region 2","Season peak percentage","Bin","percent","3.5","3.6",0
"HHS Region 2","Season peak percentage","Bin","percent","3.6","3.7",0
"HHS Region 2","Season peak percentage","Bin","percent","3.7","3.8",0.2088
"HHS Region 2","Season peak percentage","Bin","percent","3.8","3.9",0.0294
"HHS Region 2","Season peak percentage","Bin","percent","3.9","4",0.029
"HHS Region 2","Season peak percentage","Bin","percent","4","4.1",0.0332
"HHS Region 2","Season peak percentage","Bin","percent","4.1","4.2",0.0344
"HHS Region 2","Season peak percentage","Bin","percent","4.2","4.3",0.032
"HHS Region 2","Season peak percentage","Bin","percent","4.3","4.4",0.0321
"HHS Region 2","Season peak percentage","Bin","percent","4.4","4.5",0.0276
"HHS Region 2","Season peak percentage","Bin","percent","4.5","4.6",0.0236
"HHS Region 2","Season peak percentage","Bin","percent","4.6","4.7",0.0255
"HHS Region 2","Season peak percentage","Bin","percent","4.7","4.8",0.0247
"HHS Region 2","Season peak percentage","Bin","percent","4.8","4.9",0.0218
"HHS Region 2","Season peak percentage","Bin","percent","4.9","5",0.0218
"HHS Region 2","Season peak percentage","Bin","percent","5","5.1",0.0204
"HHS Region 2","Season peak percentage","Bin","percent","5.1","5.2",0.0202
"HHS Region 2","Season peak percentage","Bin","percent","5.2","5.3",0.0225
"HHS Region 2","Season peak percentage","Bin","percent","5.3","5.4",0.0222
"HHS Region 2","Season peak percentage","Bin","percent","5.4","5.5",0.0209
"HHS Region 2","Season peak percentage","Bin","percent","5.5","5.6",0.0222
"HHS Region 2","Season peak percentage","Bin","percent","5.6","5.7",0.0202
"HHS Region 2","Season peak percentage","Bin","percent","5.7","5.8",0.0187
"HHS Region 2","Season peak percentage","Bin","percent","5.8","5.9",0.014
"HHS Region 2","Season peak percentage","Bin","percent","5.9","6",0.0112
"HHS Region 2","Season peak percentage","Bin","percent","6","6.1",0.0088
"HHS Region 2","Season peak percentage","Bin","percent","6.1","6.2",0.0051
"HHS Region 2","Season peak percentage","Bin","percent","6.2","6.3",0.0057
"HHS Region 2","Season peak percentage","Bin","percent","6.3","6.4",0.0073
"HHS Region 2","Season peak percentage","Bin","percent","6.4","6.5",0.0065
"HHS Region 2","Season peak percentage","Bin","percent","6.5","6.6",0.0097
"HHS Region 2","Season peak percentage","Bin","percent","6.6","6.7",0.0088
"HHS Region 2","Season peak percentage","Bin","percent","6.7","6.8",0.0099
"HHS Region 2","Season peak percentage","Bin","percent","6.8","6.9",0.0096
"HHS Region 2","Season peak percentage","Bin","percent","6.9","7",0.0068
"HHS Region 2","Season peak percentage","Bin","percent","7","7.1",0.0096
"HHS Region 2","Season peak percentage","Bin","percent","7.1","7.2",0.0076
"HHS Region 2","Season peak percentage","Bin","percent","7.2","7.3",0.007
"HHS Region 2","Season peak percentage","Bin","percent","7.3","7.4",0.0087
"HHS Region 2","Season peak percentage","Bin","percent","7.4","7.5",0.0071
"HHS Region 2","Season peak percentage","Bin","percent","7.5","7.6",0.0074
"HHS Region 2","Season peak percentage","Bin","percent","7.6","7.7",0.008
"HHS Region 2","Season peak percentage","Bin","percent","7.7","7.8",0.0081
"HHS Region 2","Season peak percentage","Bin","percent","7.8","7.9",0.0071
"HHS Region 2","Season peak percentage","Bin","percent","7.9","8",0.0058
"HHS Region 2","Season peak percentage","Bin","percent","8","8.1",0.0074
"HHS Region 2","Season peak percentage","Bin","percent","8.1","8.2",0.0064
"HHS Region 2","Season peak percentage","Bin","percent","8.2","8.3",0.008
"HHS Region 2","Season peak percentage","Bin","percent","8.3","8.4",0.0064
"HHS Region 2","Season peak percentage","Bin","percent","8.4","8.5",0.0046
"HHS Region 2","Season peak percentage","Bin","percent","8.5","8.6",0.0058
"HHS Region 2","Season peak percentage","Bin","percent","8.6","8.7",0.0048
"HHS Region 2","Season peak percentage","Bin","percent","8.7","8.8",0.0049
"HHS Region 2","Season peak percentage","Bin","percent","8.8","8.9",0.0034
"HHS Region 2","Season peak percentage","Bin","percent","8.9","9",0.0019
"HHS Region 2","Season peak percentage","Bin","percent","9","9.1",0.003
"HHS Region 2","Season peak percentage","Bin","percent","9.1","9.2",0.0023
"HHS Region 2","Season peak percentage","Bin","percent","9.2","9.3",0.0016
"HHS Region 2","Season peak percentage","Bin","percent","9.3","9.4",0.0019
"HHS Region 2","Season peak percentage","Bin","percent","9.4","9.5",0.0017
"HHS Region 2","Season peak percentage","Bin","percent","9.5","9.6",8e-04
"HHS Region 2","Season peak percentage","Bin","percent","9.6","9.7",8e-04
"HHS Region 2","Season peak percentage","Bin","percent","9.7","9.8",8e-04
"HHS Region 2","Season peak percentage","Bin","percent","9.8","9.9",4e-04
"HHS Region 2","Season peak percentage","Bin","percent","9.9","10",2e-04
"HHS Region 2","Season peak percentage","Bin","percent","10","10.1",2e-04
"HHS Region 2","Season peak percentage","Bin","percent","10.1","10.2",3e-04
"HHS Region 2","Season peak percentage","Bin","percent","10.2","10.3",6e-04
"HHS Region 2","Season peak percentage","Bin","percent","10.3","10.4",2e-04
"HHS Region 2","Season peak percentage","Bin","percent","10.4","10.5",0
"HHS Region 2","Season peak percentage","Bin","percent","10.5","10.6",0
"HHS Region 2","Season peak percentage","Bin","percent","10.6","10.7",0
"HHS Region 2","Season peak percentage","Bin","percent","10.7","10.8",2e-04
"HHS Region 2","Season peak percentage","Bin","percent","10.8","10.9",2e-04
"HHS Region 2","Season peak percentage","Bin","percent","10.9","11",3e-04
"HHS Region 2","Season peak percentage","Bin","percent","11","11.1",3e-04
"HHS Region 2","Season peak percentage","Bin","percent","11.1","11.2",4e-04
"HHS Region 2","Season peak percentage","Bin","percent","11.2","11.3",7e-04
"HHS Region 2","Season peak percentage","Bin","percent","11.3","11.4",2e-04
"HHS Region 2","Season peak percentage","Bin","percent","11.4","11.5",7e-04
"HHS Region 2","Season peak percentage","Bin","percent","11.5","11.6",9.99999999999999e-05
"HHS Region 2","Season peak percentage","Bin","percent","11.6","11.7",4e-04
"HHS Region 2","Season peak percentage","Bin","percent","11.7","11.8",6e-04
"HHS Region 2","Season peak percentage","Bin","percent","11.8","11.9",6e-04
"HHS Region 2","Season peak percentage","Bin","percent","11.9","12",0.0013
"HHS Region 2","Season peak percentage","Bin","percent","12","12.1",0.0011
"HHS Region 2","Season peak percentage","Bin","percent","12.1","12.2",8e-04
"HHS Region 2","Season peak percentage","Bin","percent","12.2","12.3",4e-04
"HHS Region 2","Season peak percentage","Bin","percent","12.3","12.4",0.0013
"HHS Region 2","Season peak percentage","Bin","percent","12.4","12.5",0.0012
"HHS Region 2","Season peak percentage","Bin","percent","12.5","12.6",0.0012
"HHS Region 2","Season peak percentage","Bin","percent","12.6","12.7",7e-04
"HHS Region 2","Season peak percentage","Bin","percent","12.7","12.8",0.000900000000000001
"HHS Region 2","Season peak percentage","Bin","percent","12.8","12.9",0.002
"HHS Region 2","Season peak percentage","Bin","percent","12.9","13",0.0014
"HHS Region 2","Season peak percentage","Bin","percent","13","100",0.0236
"HHS Region 2","1 wk ahead","Point","percent",NA,NA,3.6
"HHS Region 2","1 wk ahead","Bin","percent","0","0.1",0
"HHS Region 2","1 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 2","1 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 2","1 wk ahead","Bin","percent","0.3","0.4",0
"HHS Region 2","1 wk ahead","Bin","percent","0.4","0.5",3e-04
"HHS Region 2","1 wk ahead","Bin","percent","0.5","0.6",0
"HHS Region 2","1 wk ahead","Bin","percent","0.6","0.7",5e-04
"HHS Region 2","1 wk ahead","Bin","percent","0.7","0.8",0.0012
"HHS Region 2","1 wk ahead","Bin","percent","0.8","0.9",0
"HHS Region 2","1 wk ahead","Bin","percent","0.9","1",0.0012
"HHS Region 2","1 wk ahead","Bin","percent","1","1.1",0.0017
"HHS Region 2","1 wk ahead","Bin","percent","1.1","1.2",0
"HHS Region 2","1 wk ahead","Bin","percent","1.2","1.3",0
"HHS Region 2","1 wk ahead","Bin","percent","1.3","1.4",0.0029
"HHS Region 2","1 wk ahead","Bin","percent","1.4","1.5",0.0145
"HHS Region 2","1 wk ahead","Bin","percent","1.5","1.6",0.0162
"HHS Region 2","1 wk ahead","Bin","percent","1.6","1.7",0.0014
"HHS Region 2","1 wk ahead","Bin","percent","1.7","1.8",0.0024
"HHS Region 2","1 wk ahead","Bin","percent","1.8","1.9",0.0027
"HHS Region 2","1 wk ahead","Bin","percent","1.9","2",0.0063
"HHS Region 2","1 wk ahead","Bin","percent","2","2.1",0.0136
"HHS Region 2","1 wk ahead","Bin","percent","2.1","2.2",0.0152
"HHS Region 2","1 wk ahead","Bin","percent","2.2","2.3",0.0128
"HHS Region 2","1 wk ahead","Bin","percent","2.3","2.4",0.0165
"HHS Region 2","1 wk ahead","Bin","percent","2.4","2.5",0.0174
"HHS Region 2","1 wk ahead","Bin","percent","2.5","2.6",0.0226
"HHS Region 2","1 wk ahead","Bin","percent","2.6","2.7",0.0181
"HHS Region 2","1 wk ahead","Bin","percent","2.7","2.8",0.019
"HHS Region 2","1 wk ahead","Bin","percent","2.8","2.9",0.0274
"HHS Region 2","1 wk ahead","Bin","percent","2.9","3",0.0369
"HHS Region 2","1 wk ahead","Bin","percent","3","3.1",0.0389
"HHS Region 2","1 wk ahead","Bin","percent","3.1","3.2",0.0291
"HHS Region 2","1 wk ahead","Bin","percent","3.2","3.3",0.0275
"HHS Region 2","1 wk ahead","Bin","percent","3.3","3.4",0.0365
"HHS Region 2","1 wk ahead","Bin","percent","3.4","3.5",0.0399
"HHS Region 2","1 wk ahead","Bin","percent","3.5","3.6",0.0496
"HHS Region 2","1 wk ahead","Bin","percent","3.6","3.7",0.0579
"HHS Region 2","1 wk ahead","Bin","percent","3.7","3.8",0.0554
"HHS Region 2","1 wk ahead","Bin","percent","3.8","3.9",0.0466
"HHS Region 2","1 wk ahead","Bin","percent","3.9","4",0.0383
"HHS Region 2","1 wk ahead","Bin","percent","4","4.1",0.0326
"HHS Region 2","1 wk ahead","Bin","percent","4.1","4.2",0.036
"HHS Region 2","1 wk ahead","Bin","percent","4.2","4.3",0.028
"HHS Region 2","1 wk ahead","Bin","percent","4.3","4.4",0.0272
"HHS Region 2","1 wk ahead","Bin","percent","4.4","4.5",0.025
"HHS Region 2","1 wk ahead","Bin","percent","4.5","4.6",0.0204
"HHS Region 2","1 wk ahead","Bin","percent","4.6","4.7",0.0141
"HHS Region 2","1 wk ahead","Bin","percent","4.7","4.8",0.0099
"HHS Region 2","1 wk ahead","Bin","percent","4.8","4.9",0.0076
"HHS Region 2","1 wk ahead","Bin","percent","4.9","5",0.0075
"HHS Region 2","1 wk ahead","Bin","percent","5","5.1",0.0057
"HHS Region 2","1 wk ahead","Bin","percent","5.1","5.2",0.0064
"HHS Region 2","1 wk ahead","Bin","percent","5.2","5.3",0.0082
"HHS Region 2","1 wk ahead","Bin","percent","5.3","5.4",0.0142
"HHS Region 2","1 wk ahead","Bin","percent","5.4","5.5",0.0129
"HHS Region 2","1 wk ahead","Bin","percent","5.5","5.6",0.0111
"HHS Region 2","1 wk ahead","Bin","percent","5.6","5.7",0.0104
"HHS Region 2","1 wk ahead","Bin","percent","5.7","5.8",0.0079
"HHS Region 2","1 wk ahead","Bin","percent","5.8","5.9",0.0062
"HHS Region 2","1 wk ahead","Bin","percent","5.9","6",0.0024
"HHS Region 2","1 wk ahead","Bin","percent","6","6.1",0.0027
"HHS Region 2","1 wk ahead","Bin","percent","6.1","6.2",0.0015
"HHS Region 2","1 wk ahead","Bin","percent","6.2","6.3",0.0016
